"","Respondent.ID","Start_Date","Age","Gender","Continent","Highest_Education","SES","Social_media_used_most","Hours_use","Seen_vaccines_post","SM_influence","Trust_most","MMR_autism","Disease_rare","Parents_decide","Neurological_problems","Handle_multiple","CDC_not_trustworthy","Follow_recommendation","Vaccine_risk","Measles_efficacy","Avoid_death","Data_publicity","Protect_immunocompromised"
"1246",10165223503,"8/16/18 16:45","35-44","Female","North America, United States","Master_Degree","Middle Class","Facebook","7-8","Yes","No_influence","Doctors","False","False","True","Unsure","False","False","True","Unsure","True","True","Unsure","True"
"1247",10165220275,"8/16/18 16:42","45-54","Female","North America, United States","High_school","Middle Class","Facebook","0-2","Yes","No_influence","Doctors","False","False","Unsure","False","Unsure","False","True","True","True","True","Unsure","True"
"1248",10165216543,"8/16/18 16:40","35-44","Female","North America, United States","Professional_Degree","Upper Class","Instagram","0-2","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
"1249",10165215470,"8/16/18 16:39","25-34","Male","North America, United States","Associate_Degree","Middle Class","Facebook","3-4","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
"1250",10165213864,"8/16/18 16:38","25-34","Female","Australia/ Oceania","Master_Degree","Middle Class","Facebook","0-2","Yes","Influenced_better","The government","False","False","False","False","False","True","True","True","True","Unsure","True","True"
"1251",10165213680,"8/16/18 16:38","55-64","Female","North America, United States","Associate_Degree","Middle Class","Facebook","3-4","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
"1252",10165211141,"8/16/18 16:36","25-34","Female","North America, Other","Bachelor_Degree","Upper Class","Facebook","0-2","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
"1253",10165210086,"8/16/18 16:36","65+","Male","Australia/ Oceania","Master_Degree","Middle Class","Facebook","3-4","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","True","True","Unsure","True"
"1254",10165209035,"8/16/18 16:35","25-34","Female","North America, United States","Bachelor_Degree","Middle Class","Facebook","3-4","Yes","Influenced_better","Doctors","False","False","False","False","False","False","True","True","True","True","Unsure","True"
"1255",10165208324,"8/16/18 16:35","45-54","Female","North America, United States","High_school","Middle Class","Facebook","0-2","Yes","No_influence","Doctors","False","False","True","False","Unsure","Unsure","True","True","True","True","True","True"
"1256",10165208236,"8/16/18 16:35","35-44","Female","North America, United States","Master_Degree","Middle Class","Facebook","5-6","Yes","Influenced_better","Doctors","False","False","Unsure","False","False","False","True","True","True","True","True","True"
"1257",10165199661,"8/16/18 16:29","25-34","Female","North America, United States","Master_Degree","Middle Class","Facebook","5-6","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
"1258",10165194704,"8/16/18 16:26","35-44","Female","North America, United States","Bachelor_Degree","Middle Class","Facebook","3-4","Yes","Influenced_better","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
"1259",10165189251,"8/16/18 16:22","18-24","Male","Australia/ Oceania","Bachelor_Degree","Middle Class","Facebook","0-2","Yes","Influenced_better","Doctors","False","False","False","False","False","False","True","True","True","True","Unsure","True"
"1260",10165188403,"8/16/18 16:22","25-34","Female","North America, United States","Associate_Degree","Middle Class","Facebook","5-6","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","True","True","Unsure","True"
"1261",10165187321,"8/16/18 16:21","35-44","Female","North America, United States","Master_Degree","Upper Class","Facebook","0-2","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
"1262",10165179957,"8/16/18 16:17","35-44","Female","North America, United States","High_school","Middle Class","Facebook","5-6","Yes","No_influence","Doctors","False","False","True","False","False","False","True","True","True","True","True","True"
"1263",10165177070,"8/16/18 16:15","65+","Male","North America, United States","Master_Degree","Middle Class","Facebook","3-4","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","True","True","Unsure","True"
"1264",10165173057,"8/16/18 16:12","55-64","Female","North America, United States","High_school","Middle Class","Facebook","7-8","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
"1265",10165170521,"8/16/18 16:11","25-34","Female","Australia/ Oceania","Bachelor_Degree","Middle Class","Facebook","0-2","Yes","Influenced_better","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
"1266",10165169166,"8/16/18 16:10","35-44","Female","Europe","Master_Degree","Middle Class","Facebook","0-2","Yes","Influenced_better","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
"1267",10165168383,"8/16/18 16:10","25-34","Female","North America, United States","Master_Degree","Middle Class","Instagram","3-4","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
"1268",10165165756,"8/16/18 16:08","35-44","Female","Australia/ Oceania","Bachelor_Degree","Middle Class","Facebook","0-2","Yes","Influenced_better","Doctors","False","False","False","False","False","False","True","Unsure","True","True","Unsure","True"
"1269",10165165583,"8/16/18 16:08","25-34","Female","North America, United States","Bachelor_Degree","Middle Class","Instagram","3-4","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
"1270",10165164360,"8/16/18 16:07","35-44","Male","Australia/ Oceania","Associate_Degree","Middle Class","Facebook","0-2","Yes","Influenced_better","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
"1271",10165153996,"8/16/18 16:01","55-64","Male","Australia/ Oceania","Associate_Degree","Middle Class","Facebook","0-2","Yes","No_influence","Internet","False","False","True","False","True","False","True","True","True","True","True","True"
"1272",10165151144,"8/16/18 16:00","25-34","Female","North America, United States","Bachelor_Degree","Middle Class","Facebook","0-2","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
"1273",10165150603,"8/16/18 15:59","18-24","Female","North America, United States","High_school","Middle Class","Twitter","3-4","Yes","No_influence","Internet","False","False","True","True","False","True","True","True","True","True","True","True"
"1274",10165150562,"8/16/18 15:59","18-24","Female","Europe","Bachelor_Degree","Middle Class","Facebook","3-4","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
"1275",10165149516,"8/16/18 15:58","55-64","Female","North America, United States","Bachelor_Degree","Middle Class","Facebook","0-2","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
"1276",10165147522,"8/16/18 15:57","25-34","Female","North America, United States","Bachelor_Degree","Middle Class","Facebook","0-2","Yes","No_influence","Doctors","Unsure","False","True","Unsure","True","Unsure","Unsure","True","True","True","True","True"
"1277",10165146600,"8/16/18 15:57","25-34","Female","Europe","Master_Degree","Middle Class","Facebook","0-2","Yes","Influenced_better","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
"1278",10165142101,"8/16/18 15:50","45-54","Female","Australia/ Oceania","High_school","Middle Class","Facebook","3-4","Yes","No_influence","Doctors","False","False","False","False","False","True","True","True","True","True","Unsure","True"
"1279",10165139287,"8/16/18 15:53","25-34","Female","Australia/ Oceania","Bachelor_Degree","Middle Class","Other (please specify)","3-4","Yes","Influenced_better","Doctors","False","False","False","False","False","False","True","Unsure","Unsure","True","Unsure","True"
